name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
McDonald's · Visited link,"726 Connecticut Ave, Norwalk, CT 06854",mcdonalds.com,(657) 522-2272,,3.9,41.0899852,-74.6053908
McDonald's · Visited link,"1207 E Putnam Ave, Riverside, CT 06878",mcdonalds.com,(203) 990-0013,,3.9,41.0899852,-74.6053908
McDonald's · Visited link,"1207 E Putnam Ave, Riverside, CT 06878",mcdonalds.com,(203) 990-0013,,3.9,41.0899852,-74.6053908
McDonald's · Visited link,"Rt-95 Southbound (Between Exit 10-9, Darien, CT 06820",mcdonalds.com,(203) 656-1769,,3.8,41.0899852,-74.6053908
McDonald's · Visited link,"340 Main St, Norwalk, CT 06851",mcdonalds.com,(203) 846-8309,,3.8,41.0899852,-74.6053908
McDonald's,"340 Main St, Norwalk, CT 06851",mcdonalds.com,(203) 846-8309,,3.8,41.0899852,-74.6053908
McDonald's · Visited link,"536 Post Rd, Fairfield, CT 06824",mcdonalds.com,(203) 259-7973,,3.7,41.0899852,-74.6053908
McDonald's · Visited link,"701 Post Rd E, Westport, CT 06880",mcdonalds.com,(203) 454-1900,,3.9,41.0899852,-74.6053908
McDonald's,"701 Post Rd E, Westport, CT 06880",mcdonalds.com,(203) 454-1900,,3.9,41.0899852,-74.6053908
McDonald's · Visited link,"26 Belden Ave, Norwalk, CT 06850",mcdonalds.com,(203) 845-8766,,3.8,41.0899852,-74.6053908
McDonald's,"26 Belden Ave, Norwalk, CT 06850",mcdonalds.com,(203) 845-8766,,3.8,41.0899852,-74.6053908
McDonald's · Visited link,"531 Westport Ave, Norwalk, CT 06851",mcdonalds.com,(203) 849-0242,,4.0,41.0899852,-74.6053908
McDonald's,"531 Westport Ave, Norwalk, CT 06851",mcdonalds.com,(203) 849-0242,,4.0,41.0899852,-74.6053908
McDonald's · Visited link,"439 Bridgeport Ave, Milford, CT 06460",mcdonalds.com,(203) 874-9606,,3.9,41.0899852,-74.6053908
McDonald's · Visited link,"439 Bridgeport Ave, Milford, CT 06460",mcdonalds.com,(203) 874-9606,,3.9,41.0899852,-74.6053908
McDonald's,"255 Bank St, Seymour, CT 06483",mcdonalds.com,(203) 881-3647,,3.6,41.0899852,-74.6053908
McDonald's · Visited link,"1376 Post Rd, Turnpike Square, Milford, CT 06460",mcdonalds.com,(657) 522-2272,,3.8,41.0899852,-74.6053908
McDonald's · Visited link,"2 Lake Ave Ext, Danbury, CT 06810",mcdonalds.com,(203) 778-0102,,3.8,41.0899852,-74.6053908
McDonald's · Visited link,"129 Washington Ave, North Haven, CT 06473",mcdonalds.com,(203) 239-9086,,,41.0899852,-74.6053908
McDonald's · Visited link,"129 Washington Ave, North Haven, CT 06473",mcdonalds.com,(203) 239-9086,,3.9,41.396389,-74.009277
