name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
McDonald's,"150 NJ-17, Mahwah, NJ 07430",mcdonalds.com,(201) 529-1247,,4.0,41.0595867,-74.2354463
McDonald's · Visited link,"150 NJ-17, Mahwah, NJ 07430",mcdonalds.com,(201) 529-1247,,4.0,41.0976645,-74.3046463
McDonald's · Visited link,"150 NJ-17, Mahwah, NJ 07430",mcdonalds.com,(201) 529-1247,,4.0,41.0976645,-74.3046463
McDonald's · Visited link,"828 NJ-17, Paramus, NJ 07652",mcdonalds.com,(201) 652-9428,,,41.0976645,-74.3046463
McDonald's,"828 NJ-17, Paramus, NJ 07652",mcdonalds.com,(201) 652-9428,,3.5,40.9765217,-74.2258175
McDonald's,"828 NJ-17, Paramus, NJ 07652",mcdonalds.com,(201) 652-9428,,3.5,40.9765217,-74.2258175
McDonald's,"1 Garden State Plaza, Garden State Plaza Blvd, Paramus, NJ 07652",mcdonalds.com,(201) 368-3403,,4.0,40.9765217,-74.2258175
McDonald's · Visited link,"189 US-46, Saddle Brook, NJ 07663",mcdonalds.com,(201) 845-8014,,,40.9765217,-74.2258175
McDonald's,"189 US-46, Saddle Brook, NJ 07663",mcdonalds.com,(201) 845-8014,,3.8,40.9765217,-74.2258175
McDonald's · Visited link,"186 3rd Ave, Paterson, NJ 07514",mcdonalds.com,(973) 684-5335,,,40.9765217,-74.2258175
McDonald's,"186 3rd Ave, Paterson, NJ 07514",mcdonalds.com,(973) 684-5335,,3.5,40.9765217,-74.2258175
McDonald's · Visited link,"240 Livingston St, Northvale, NJ 07647",mcdonalds.com,(201) 767-9779,,,40.9765217,-74.2258175
McDonald's,"240 Livingston St, Northvale, NJ 07647",mcdonalds.com,(201) 767-9779,,3.7,41.0111886,-74.0904116
McDonald's · Visited link,"326 S Washington Ave, Bergenfield, NJ 07621",mcdonalds.com,(201) 384-0905,,,41.0111886,-74.0904116
McDonald's,"326 S Washington Ave, Bergenfield, NJ 07621",mcdonalds.com,(201) 384-0905,,,40.9167986,-74.1416283
McDonald's · Visited link,"1479 NJ-23, Butler, NJ 07405",mcdonalds.com,(973) 492-0271,,,40.9167986,-74.1416283
McDonald's,"1479 NJ-23, Butler, NJ 07405",mcdonalds.com,(973) 492-0271,,3.8,41.0004604,-74.5006004
McDonald's,"1479 NJ-23, Butler, NJ 07405",mcdonalds.com,(973) 492-0271,,3.8,41.0004604,-74.5006004
McDonald's · Visited link,"41/43 W Palisade Ave, Englewood, NJ 07631",mcdonalds.com,(201) 894-0048,,,41.0004604,-74.5006004
McDonald's,"41/43 W Palisade Ave, Englewood, NJ 07631",mcdonalds.com,(201) 894-0048,,3.6,40.8953537,-74.1208184
McDonald's · Visited link,"289 Bergen Blvd, Fairview, NJ 07022",mcdonalds.com,(201) 313-2560,,3.5,40.8953537,-74.1208184
