name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
McDonald's,"150 NJ-17, Mahwah, NJ 07430",mcdonalds.com,(201) 529-1247,,,41.0595867,-74.2354463
McDonald's · Visited link,"846 NJ-17, Ramsey, NJ 07446",mcdonalds.com,(201) 327-0339,,,41.0595867,-74.2354463
McDonald's · Visited link,"846 NJ-17, Ramsey, NJ 07446",mcdonalds.com,(201) 327-0339,,,41.0595867,-74.2354463
McDonald's · Visited link,"846 NJ-17, Ramsey, NJ 07446",mcdonalds.com,(201) 327-0339,,,41.0976645,-74.3046463
McDonald's,"846 NJ-17, Ramsey, NJ 07446",mcdonalds.com,(201) 327-0339,,,41.0976645,-74.3046463
McDonald's · Visited link,"186 3rd Ave, Paterson, NJ 07514",mcdonalds.com,(973) 684-5335,,3.5,40.9765217,-74.2258175
McDonald's,"186 3rd Ave, Paterson, NJ 07514",mcdonalds.com,(973) 684-5335,,3.5,40.9765217,-74.2258175
McDonald's · Visited link,"1118 Main St, River Edge, NJ 07661",mcdonalds.com,(201) 489-9216,,3.7,40.9765217,-74.2258175
McDonald's,"1118 Main St, River Edge, NJ 07661",mcdonalds.com,(201) 489-9216,,3.7,40.9765217,-74.2258175
McDonald's · Visited link,"160 Market St, Paterson, NJ 07505",mcdonalds.com,(973) 684-9351,,3.6,40.9765217,-74.2258175
McDonald's,"160 Market St, Paterson, NJ 07505",mcdonalds.com,(973) 684-9351,,3.6,40.916375,-74.3155296
McDonald's · Visited link,"90 Dayton Ave, Passaic, NJ 07055",mcdonalds.com,(973) 928-6505,,3.8,40.916375,-74.3155296
McDonald's · Visited link,"405 US-46, Little Falls, NJ 07424",mcdonalds.com,(973) 256-5318,,3.6,40.916375,-74.3155296
McDonald's · Visited link,"265 Crooks Ave, Paterson, NJ 07503",mcdonalds.com,(973) 345-9138,,3.9,40.916375,-74.3155296
McDonald's,"265 Crooks Ave, Paterson, NJ 07503",mcdonalds.com,(973) 345-9138,,3.9,40.916375,-74.3155296
McDonald's · Visited link,"180 Passaic St, Garfield, NJ 07026",mcdonalds.com,(973) 777-9720,,3.9,40.916375,-74.3155296
McDonald's · Visited link,"329 NJ-17, Hasbrouck Heights, NJ 07604",mcdonalds.com,(201) 288-5121,,,40.916375,-74.3155296
McDonald's,"329 NJ-17, Hasbrouck Heights, NJ 07604",mcdonalds.com,(201) 288-5121,,3.7,40.8611237,-74.2109185
McDonald's · Visited link,"343 River St, Hackensack, NJ 07601",mcdonalds.com,(201) 880-7868,,3.9,40.8611237,-74.2109185
McDonald's · Visited link,"319 US-46, Little Ferry, NJ 07643",mcdonalds.com,(201) 641-9632,,3.8,40.8611237,-74.2109185
McDonald's · Visited link,"43A Marshall Hill Rd, West Milford, NJ 07480",mcdonalds.com,(973) 728-1140,,,40.8611237,-74.2109185
